Id,Competitor,Rating,Logo,Difference,Jobbuzzname,Website,Work Life Balance ,Salary,Company Culture,Career Growth,Industry,Founded,Founders,Turnover,Headquarters,Employees,Compititors,Description
122,Tata Consultancy Services (TCS),3.3,http://jobbuzz.timesjobs.com/ndata_images/logos/000741.gif,N,Tata Consultancy Services Ltd,http://www.tcs.com/Pages/default.aspx,3.5,3.2,3.2,3.3," Technology (IT, Telecom, Dot Com Etc)",2004, N. Chandrasekaran, 10000+, Chennai, 10001+," Doshion Ltd , Wipro Technologies Ltd , Infosys Technologies Ltd , Geometric Ltd , HCL Technologies Ltd , Genesys International , Mott MacDonald Group Ltd","Tata Consultancy Services Limited (TCS) is an Indian multinational information technology (IT) service, consulting and business solutions company headquartered in Mumbai, Maharashtra.   TCS operates in 46 countries.  It is a subsidiary of the Tata Group and is listed on the Bombay Stock Exchange and the National Stock Exchange of India. TCS is one of the largest Indian companies by market capitalization ($80 billion)   and is the largest India-based IT services company by 2013 revenues.   TCS is now placed among the ‘Big 4’ most valuable IT services brands worldwide.  In 2015, TCS is ranked 64th overall in the Forbes World's Most Innovative Companies ranking, making it both the highest-ranked IT services company and the first Indian company.  It is the world's 10th largest IT services provider, measured by the revenues. "
123,Cummins India Limited,3.7,http://jobbuzz.timesjobs.com/ndata_images/logos/000307.gif,N,"Cummins Engine, Inc.",http://www.cummins.com/CumminsMigration/,4,3.6,3.7,3.6, Heavy Machinery/Capital Goods & Industrial Supplies,-,-, 10000+,-, 10001+,-,0
124,Cybage Software,3,http://jobbuzz.timesjobs.com/ndata_images/logos/000308.gif,N,Cybage Software Pvt Ltd,http://www.cybage.com/Pages/index.aspx,3.4,2.6,3.1,3," Technology (IT, Telecom, Dot Com Etc)",1995, Arun Nathani, 100 - 500," Pune, India", 1001 - 5000," Zensar Technologies Ltd , Persistent Systems Ltd , Cognizant Technology Solutions , Tech Mahindra Ltd , Tata Consultancy Services Ltd",0
125,Cypress Semiconductor,4,http://jobbuzz.timesjobs.com/ndata_images/logos/006943.gif,N,Cypress Semiconductors India Pvt Ltd,http://www.cypress.com,4,5,4,3," Technology - IT, Telecom, Semiconductors",-,-, 2500 - 5000,-, 1001 - 5000,-,"Cypress Semiconductor Corporation is an American semiconductor design and manufacturing company founded by T. J. Rodgers and others from Advanced Micro Devices. It was formed in 1982 with backing by Sevin Rosen and went public in 1986. The company initially focused on the design and development of high speed CMOS SRAMs, EEPROMs, PAL devices, and TTL logic devices. Two years after going public the company switched from the NASDAQ to the New York Stock Exchange. In October 2009, the company announced it would switch its listing to the NASDAQ on November 12, 2009.  Its headquarters are in San Jose, California, and it has divisions in the United States, Ireland, India and the Philippines as well as a fabrication plant in Minnesota.Some of its main competitors include Microchip Technology, Integrated Device Technology, Samsung Electronics, and Xilinx."
126,Damco,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003800.gif,N,Damco Solutions Pvt Ltd,http://www.damcogroup.com,2.5,2.5,2.5,2.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 1 - 100,-, 201 - 500,-,"Coordinates: 55°41′14.81″N 12°35′53.28″EA.P. Moller–Maersk Group (Danish: A.P. Møller–Mærsk A/S, Danish pronunciation:  ), also known as Maersk, is a Danish business conglomerate.  A.P. Møller – Maersk Group has activities in a variety of business sectors, primarily within the transportation and energy sectors. It has been the largest container ship operator and supply vessel operator in the world  since 1996. A.P. Møller – Maersk Group is based in Copenhagen, Denmark,  with subsidiaries and offices in more than 135 countries worldwide and around 89,000 employees.  It ranked 148 on the Forbes Global 2000 list for 2015. "
127,Datamatics Technologies,2.9,http://jobbuzz.timesjobs.com/ndata_images/logos/000315.gif,N,Datamatics Global Services Ltd,http://www.datamatics.com/dgsl/,2.9,2.8,2.9,3," BPOs, KPOs, LPOs, ITES, Transcription",1975, Rahul.L.Kanodia, 100 - 500, Mumbai, 5001 - 10000," Mastek Ltd , Hexaware Technologies Ltd , Cybage Software Pvt Ltd , Geometric Ltd , Tata Consultancy Services Ltd",0
128,Dell,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/002107.gif,N,Dell India,http://www.dell.com/,3.4,3.5,3.4,3.4," Technology - IT, Telecom, Semiconductors",1984, Michael Dell, 10000+," Round Rock, Texas, US", 10001+," Hewlett Packard Development Company L.P. , Lenovo India Pvt Ltd","Dell Inc. is an American privately owned multinational computer technology company based in Round Rock, Texas, United States, that develops, sells, repairs, and supports computers and related products and services. Eponymously named after its founder, Michael Dell, the company is one of the largest technological corporations in the world, employing more than 103,300 people worldwide. Dell sells personal computers (PCs), servers, data storage devices, network switches, software, computer peripherals, HDTVs, cameras, printers, MP3 players, and electronics built by other manufacturers. The company is well known for its innovations in supply chain management and electronic commerce, particularly its direct-sales model and its ""build-to-order"" or ""configure to order"" approach to manufacturing—delivering individual PCs configured to customer specifications.   Dell was a pure hardware vendor for much of its existence, but with the acquisition in 2009 of Perot Systems, Dell entered the market for IT services. The company has since made additional acquisitions in storage and networking systems, with the aim of expanding their portfolio from offering computers only to delivering complete solutions for enterprise customers.  Dell was listed at number 51 in the Fortune 500 list, until 2014.  After going private in 2013, the newly confidential nature of its financial information prevents the company from being ranked by Fortune. In 2014 it was the third largest PC vendor in the world after Lenovo and HP.  Dell is currently the #1 shipper of PC monitors in the world.  Dell is the sixth largest company in Texas by total revenue, according to Fortune magazine.  It is the second largest non-oil company in Texas – behind AT&T – and the largest company in the Greater Austin area.  It was a publicly traded company (NASDAQ: DELL), as well as a component of the NASDAQ-100 and S&P 500, until it was taken private in a leveraged buyout which closed on October 30, 2013."
129,Delphi,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000320.gif,N,Delphi Automotive LLP,http://delphi.com/,3.8,3.7,3.6,3.8, Transportation Equipment,-,-, 10000+,-, 10001+," Robert BOSCH Engineering and Business Solutions Ltd , Johnson Controls Ltd , General Motors Company , Ford Motor Co","Delphi (/ˈdɛlfaɪ/ or /ˈdɛlfi/; Greek: Δελφοί,  )  is both an archaeological site and a modern town in Greece on the south-western spur of Mount Parnassus in the valley of Phocis. In myths dating to the classical period of Ancient Greece (510-323 BC), the site of Delphi was believed to be determined by Zeus when he sought to find the centre of his ""Grandmother Earth"" (Ge, Gaea, or Gaia). He sent two eagles flying from the eastern and western extremities, and the path of the eagles crossed over Delphi where the omphalos, or navel of Gaia was found. Earlier myths include traditions that Pythia, or the Delphic oracle, already was the site of an important oracle in the pre-classical Greek world (as early as 1400 BC) and, rededicated from about 800 BC, when it served as the major site during classical times for the worship of the god Apollo. Apollo was said to have slain Python, ""a dragon"" who lived there and protected the navel of the Earth.  ""Python"" (derived from the verb πύθω (pythō),  ""to rot"") is claimed by some to be the original name of the site in recognition of Python which Apollo defeated.  The Homeric Hymn to Delphic Apollo recalled that the ancient name of this site had been Krisa.  Others relate that it was named Pytho and that Pythia, the priestess serving as the oracle, was chosen from their ranks by a group of priestesses who officiated at the temple.Apollo's sacred precinct in Delphi was a panhellenic sanctuary, where every four years, starting in 586 BC   athletes from all over the Greek world competed in the Pythian Games, one of the four panhellenic (or stephanitic) games, precursors of the Modern Olympics. The victors at Delphi were presented with a laurel crown (stephanos) which was ceremonially cut from a tree by a boy who re-enacted the slaying of the Python.  Delphi was set apart from the other games sites because it hosted the mousikos agon, musical competitions. "
130,Deutsche Bank,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000324.gif,N,Deutsche Bank Ltd,https://www.db.com/india/,3.7,3.4,3.4,3.4," Banking, Financial Services & Insurance",1870,-, 10000+, Mumbai, 10001+," Citibank India , Credit Suisse Securities (India) Pvt Ltd , Barclays Capital , Goldman Sachs Services Pvt Ltd , JPMorgan Chase & Co","Coordinates: 50°6′50″N 8°40′7″EDeutsche Bank AG (literally ""German Bank""; pronounced  ) is a German global banking and financial services company with its headquarters in the Deutsche Bank Twin Towers in Frankfurt. It has more than 100,000 employees in over 70 countries, and has a large presence in Europe, the Americas, Asia-Pacific and the emerging markets. In 2009, Deutsche Bank was the largest foreign exchange dealer in the world with a market share of 21 percent.   The company is a component of the Euro Stoxx 50 stock market index. The bank offers financial products and services for corporate and institutional clients along with private and business clients. Services include sales, trading, research and origination of debt and equity; mergers and acquisitions (M&A); risk management products, such as derivatives, corporate finance, wealth management, retail banking, fund management, and transaction banking. "
131,Denso,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/002687.gif,N,Denso India Ltd,http://www.denso.co.in/,2.5,2.5,2.5,2.5, Heavy Machinery/Capital Goods & Industrial Supplies,-,-, 1000 - 2500,-, 501 - 1000,-,"Denso Corporation (株式会社デンソー Kabushiki-Gaisha Densō?) is a global automotive components manufacturer headquartered in the city of Kariya, Aichi Prefecture, Japan. After becoming independent from Toyota Motors, Nippon Denso Co. Ltd. (日本電装株式会社 Nippon Densō Kabushiki-Gaisha?) was founded in 1949. Despite being a part of Toyota Group of companies, as of 2014, sales to Toyota Group accounts for less than 50% of the total revenue (41.2% of the revenue originate from various car manufactures in Japan, Germany, U.S. and China).  Since 2009, Denso is the world's biggest auto-parts manufacturer by revenue. As of 2013 Denso Corporation consisted of 184 subsidiaries (68 in Japan, 34 in the Americas, 34 in Europe and 48 in Asia/Oceania) with a total of 132,276 employees.  The company is further escalating its global production structure by establishing manufacturing complexes in India, Mexico and Indonesia in order to accommodate further global demand for their products.  In 2013 Denso was listed at #242 on the Fortune 500 list with a total revenue of $43.1 billion. "
