Id,Competitor,Rating,Logo,Difference,Jobbuzzname,Website,Work Life Balance ,Salary,Company Culture,Career Growth,Industry,Founded,Founders,Turnover,Headquarters,Employees,Compititors,Description
1,ABC,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000018.gif,N,ABC Bearings Limited,http://www.abcbearings.com/,3.8,3.9,3.9,3.8, Transportation Equipment,-,-, 100 - 500,-, 201 - 500," Amtek Auto Ltd , NRB Bearings Ltd , Uttam Galva Steels , SKF India Ltd , Mahindra & Mahindra Ltd",0
2,AbsolutData,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/003107.gif,N,AbsolutData Research & Analytics (P) Ltd,http://www.absolutdata.com,4,3,4,4," Media, Entertainment, Advertising & Related Services",-,-, 1 - 100,-, 201 - 500,-,"Absolutdata Research and Analytics is a consulting-oriented Analytics & Research firm based out of San Francisco, California. Absolutdata has domestic offices in New York and Los Angeles. Its international offices are located in Gurgaon and Bangalore, India, London, UK and Dubai, United Arab Emirates.  "
3,Aditya Birla Group,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000267.png,Y,Aditya Birla Group,http://www.adityabirla.com/,3.8,3.8,3.9,3.8, Other Industry,1857, Mr. Kumar Mangalam Birla, 10000+," Mumbai, Maharashtra", 10001+," Tata Steel Ltd , Larsen and Toubro Ltd","The Aditya Birla Group is an Indian multinational conglomerate named after Aditya Vikram Birla, headquartered in the Aditya Birla Centre in Worli, Mumbai, India.   It operates in 40 countries with more than 1.2 lakh employees worldwide.  The group was founded by Seth Shiv Narayan Birla in 1857. The group interests in sectors such as viscose staple fibre, metals, cement (largest in India), viscose filament yarn, branded apparel, carbon black, chemicals, fertilisers, insulators, financial services, telecom (third largest in India), BPO and IT services.The group had a revenue of approximately US$45 billion in year 2014.   With a gross revenue of USD 45 billion (in 2014). It is the third-largest Indian private sector conglomerate behind Tata Group with revenue of just over US$100 billion and RIL with revenue of US$74 billion."
4,ABB,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/000015.png,N,ABB India Ltd,http://www.abb.com/,3.7,3.4,3.7,3.6, Heavy Machinery/Capital Goods & Industrial Supplies,1988, Ulrich Spiesshofer, 5000 - 10000," Zurich, Switzerland", 10001+," Eaton Corporation , Schneider Electric Pvt Ltd , Siemens Ltd","ABB (ASEA Brown Boveri) is a multinational corporation headquartered in Zurich, Switzerland, operating mainly in robotics and the power and automation technology areas. It ranked 158th in the Forbes Ranking (2013).ABB is one of the largest engineering companies as well as one of the largest conglomerates in the world. ABB has operations in around 100 countries, with approximately 140,000 employees in October 2015,  and reported global revenue of $39.8 billion for 2014. ABB is traded on the SIX Swiss Exchange in Zürich, Nasdaq Stockholm and the New York Stock Exchange in the United States. "
5,Accenture,3.7,http://jobbuzz.timesjobs.com/ndata_images/logos/000034.gif,N,Accenture Pvt Ltd,http://www.accenture.com/,3.6,3.7,3.7,3.8," Technology (IT, Telecom, Dot Com Etc)",1989, Pierre Nanterme, 10000+," San Fransisco, California", 10001+," Hewlett Packard Development Company L.P. , IBM India Pvt Ltd , HCL Technologies Ltd , Cognizant Technology Solutions , Tata Consultancy Services Ltd","Accenture plc is a multinational management consulting, technology services, and outsourcing company.  Its incorporated headquarters have been in Dublin, Ireland since 1 September 2009. It is the world's largest consulting firm as measured by revenues  and is a Fortune Global 500 company.  As of 2015, the company reported net revenues of $31.0 billion, with more than 358,000 employees serving clients in more than 200 cities in 120 countries.  In 2012 Accenture had about 80,000 employees in India, more than in any other country, about 40,000 in the US, and about 35,000 in the Philippines.  Accenture's current clients include 89 of the Fortune Global 100 and more than three-quarters of the Fortune Global 500. Accenture common equity is listed on the New York Stock Exchange, under the symbol ACN, and was added to the S&P 500 index on 5 July 2011. In 2015, the Fortune magazine named it as the world's most admired Information Technology Services company. "
6,Accord Software,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000038.gif,N,Accord Software & Systems Pvt Ltd,http://www.accord-soft.com/,3.5,3.3,3.5,3.4," Technology (IT, Telecom, Dot Com Etc)",1991, J.M.Sundaresan, 1000 - 2500," Bangalore, Karnataka", 201 - 500,-,0
7,Accel Frontline Limited,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000031.gif,N,Accel Frontline,http://www.accelfrontline.in/,3.6,3.3,3.4,3.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 201 - 500,-,0
8,Aditi,4,http://jobbuzz.timesjobs.com/ndata_images/logos/000056.png,N,Aditi Technologies,http://www.aditi.com/,4,4,4,4.1," Technology (IT, Telecom, Dot Com Etc)",1994, Pradeep Rathinam, 100 - 500," Bangalore, Karnataka", 1001 - 5000," Accenture Pvt Ltd , Sonata Software Ltd , Infosys Technologies Ltd , Microsoft India Pvt Ltd , Infinite Computer Solutions (India) Ltd",0
9,Aditya Birla Minacs,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000060.gif,N,Aditya Birla Minacs Ltd,http://minacs.adityabirla.com/home.aspx,3.5,3.4,3.7,3.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 1000 - 2500,-, 10001+,-,"Minacs is a business and technology outsourcing company with headquarters in Toronto (Oshawa), Canada; Detroit (Farmington Hills), USA; and Bangalore, India.With 21,000 employees (as of March 2014) and 35 operations centers in Canada, Germany, Hungary, India, Jamaica, the Philippines, the United Kingdom, and the United States, Minacs provides the manufacturing, banking, financial services, insurance, telecom, high technology, media, and entertainment, healthcare, and government and public sectors with outsourced customer life cycle, marketing, finance and accounting, procurement and IT services. "
10,Adobe,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000066.gif,N,Adobe Systems Ltd,http://www.adobe.com/in/,3.3,3.6,3.4,3.1," Technology (IT, Telecom, Dot Com Etc)",1982, Shantanu Narayen, 10000+," California, U.S.", 10001+," Hewlett Packard Development Company L.P. , IBM India Pvt Ltd , Dell India , Microsoft India Pvt Ltd , Cisco Systems Inc.","Adobe (i/əˈdoʊbi/, UK /əˈdoʊb/,  Spanish pronunciation:  , from Spanish: mud brick, from Arabic) is a building material made from earth and often organic material. Most adobe buildings are similar to cob and rammed earth buildings. Adobe is among the earliest building materials, and is used throughout the world."
11,ADP,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/004567.gif,N,ADP India Pvt Ltd,http://www.adp.com,3.7,3.3,3.7,3.5, Consultancy Services,1949, Carlos Rodriguez, 100 - 500, New Delhi, 201 - 500,-,0
12,Adventity,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000068.gif,N,Adventity Global Services Pvt Ltd,http://www.adventity.com/index.php,3.2,3.6,3.4,3.3," BPOs, KPOs, LPOs, ITES, Transcription",-,-, 1 - 100,-, 1001 - 5000,-,0
13,Adecco India,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000053.gif,N,Adecco India Ltd,http://www.adecco.co.in/,3.9,3.7,3.8,3.9, Consultancy Services,2002,-, 100 - 500, Bangalore, 10001+,-,0
14,ADVINUS Therapeutics Ltd,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003260.gif,N,Advinus Therapeutics Ltd,http://www.advinus.com,3,2.5,2.5,2.5, Healthcare Services,-,-, 1 - 100,-, 501 - 1000,-,0
15,Adani Infra,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/005869.gif,N,Adani Infra India Ltd,http://www.adaniinfra.com,0,0,0,0," Construction, Interiors & Real Estate Services",-,-, 100 - 500,-, 501 - 1000,-,0
16,Adidas,3.7,http://jobbuzz.timesjobs.com/ndata_images/logos/000055.gif,N,Adidas India Marketing Pvt Ltd,http://adidas.com/in/homepage.asp,3.8,3.8,3.7,3.7, Consumer Goods - Other,1995,-, 10000+, New Delhi, 10001+," Reebok International Ltd , Puma Sports India Pvt Ltd , Converse Inc , NIKE, INC.","Adidas AG (German pronunciation:  ) is a German multinational corporation that designs and manufactures sports shoes, clothing and accessories. The company is based in Herzogenaurach, Bavaria, Germany. It is the holding company for the Adidas Group, which consists of the Reebok sportswear company, TaylorMade-Adidas golf company (including Ashworth), 9.1% of FC Bayern Munich and Runtastic, a former-Austrian fitness company. Besides sports footwear, Adidas also produces other products such as bags, shirts, watches, eyewear and other sports and clothing-related goods. Adidas is the largest sportswear manufacturer in Europe and the second biggest in the world, after Nike. Adidas was founded on 18 August 1949 by Adolf Dassler, following a family feud at the Gebrüder Dassler Schuhfabrik company between him and his older brother Rudolf.  Rudolf had earlier established Puma, which quickly became the business rival of Adidas. Both the Adidas and Puma companies still remain based in Herzogenaurach, Germany to this day.The company's clothing and shoe designs typically feature three parallel bars, and the same motif is incorporated into Adidas's current official logo.   The brand name is appropriately uncapitalized, with a lower case ""a.""  The company revenue for 2012 was listed at €14.88 billion. "
17,Aequor Information Technologies,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/006063.gif,N,Aequor Information Technologies Pvt Ltd,http://www.aequor.com,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",-,-, 1 - 100,-, 51 - 200,-,0
18,Affiliated Computer Services,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000074.gif,N,Affiliated Computer Services Co,http://www.acs-inc.com/,3.7,3.2,3.2,3.3," BPOs, KPOs, LPOs, ITES, Transcription",-,-, 1000 - 2500,-, 10001+," Accenture Pvt Ltd , Computer Sciences Corp Ltd (CSC) , IBM India Pvt Ltd , Cognizant Technology Solutions","Affiliated Computer Services Inc. (ACS) provides information technology services as well as business process outsourcing solutions to businesses, government agencies, and non-profit organizations. ACS is based in Dallas, Texas and the current CEO is Lynn Blodgett. ACS is ranked at number 341 on the 2010 Fortune 500 list.  Founded in 1988, by Darwin Deason, ACS now operates in nearly 100 countries, generating over $6 billion annually. As of September 2009, ACS employs approximately 74,000 people. On September 28, 2009, Xerox Corporation announced plans to acquire ACS in a $6.4 billion transaction.   The deal closed on February 8, 2010. "
19,AGC Networks,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/002131.gif,N,AGC Networks Ltd,http://www.agcnetworks.com,2.5,2.5,2.5,2.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 501 - 1000,-,0
20,Agilent Technologies,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/000079.png,N,Agilent Technologies Pvt Ltd,http://www.home.agilent.com/agilent/home.jspx?lc=eng&cc=IN,3.9,3.6,3.6,3.5," BPOs, KPOs, LPOs, ITES, Transcription",1999, Mike McMullen, 10000+, United States, 10001+,-,"Agilent Technologies is an American public research, development and manufacturing company established in 1999 as a spin-off from Hewlett Packard. The resulting IPO of Agilent stock was the largest in the history of Silicon Valley at the time.  The company provides analytical instruments, software, services and consumables for the entire laboratory workflow.  Agilent focuses its products and services on six markets: food, environmental and forensics, pharmaceutical, diagnostics, chemical and energy, and research."
21,Agnity,3.1,http://jobbuzz.timesjobs.com/ndata_images/logos/002044.gif,N,Agnity India Pvt Ltd,www.agnity.com,3.6,3.2,2.9,2.7," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 51 - 200,-,0
22,Agility Logistics,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000081.gif,N,Agility Logistics Pvt Ltd,http://www.agilitylogistics.com/EN/Pages/Landing.aspx,3.4,3.4,3.4,3.4, Transportation Services,1979, Tarek Sultan, 10000+," Sulaibiya, Kuwait", 10001+," Blue Dart Express Ltd , Dhl Express India Pvt Ltd","Agility is a publicly traded global logistics company headquartered in Kuwait. It provides freight forwarding, transportation, warehousing and supply chain management services to businesses, governments, international institutions and relief agencies worldwide. Agility has more than 20,000 employees and 500 offices in 100 countries.Agility shares have traded on the Kuwait Stock Exchange (KSE: AGLTY) since 1984 and the Dubai Financial Market (DFM: AGLTY) since 2006."
23,AGR,3.7,http://jobbuzz.timesjobs.com/ndata_images/logos/000084.gif,N,Agro Tech Foods Ltd,http://www.atfoods.com/index.php,3.5,3.8,3.6,3.8, Consumer Goods - FMCG,-, Sachin Gopal, 500 - 1000, Kolkata, 1001 - 5000,-,0
24,Aircel Ltd,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/000097.png,Y,Aircel Ltd,www.aircel.com,3.6,3.7,3.6,3.6," Technology (IT, Telecom, Dot Com Etc)",1999, Kaizad Heerjee, 2500 - 5000," Chennai, Tamil Nadu, India", 1001 - 5000," Bharat Sanchar Nigam Ltd , Bharti Airtel Ltd , Reliance Industries Ltd",0
25,Aircom International,3.1,http://jobbuzz.timesjobs.com/ndata_images/logos/000099.gif,N,Aircom International Pvt Ltd,http://www.aircominternational.com/default.aspx,3.3,3.3,3,2.8," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 501 - 1000,-,"AIRCOM International is a telecom network management consultancy firm focusing on end-to-end network planning, sharing, outsourcing, and OSS optimization for IP and cellular networks. The company was founded in May 1995 and is headquartered in London, with offices in 17 countriesA privately held company, AIRCOM works with many wireless carriers to upgrade and optimize networks as they migrate from 2G to 3G to 4G.On 3 December 2013 TEOCO, a telecom software firm based out of Fairfax, VA, acquired Aircom International for an undisclosed amount."
26,Airbus,4.9,http://jobbuzz.timesjobs.com/ndata_images/logos/004422.gif,N,Airbus Engineering Centre India Pvt Ltd,http://www.airbus.com,5,4.5,5,5, Transportation Equipment,-,-, 1 - 100,-, 201 - 500,-,"Airbus SAS (/ˈɛərbʌs/, French:   ( listen), German:  , Spanish:  ) is a division of Airbus Group SE that manufactures civil aircraft. It is based in Blagnac, France, a suburb of Toulouse,   with production and manufacturing facilities mainly in France, Germany, Spain, China and the United Kingdom.Airbus began as a consortium of aerospace manufacturers, Airbus Industrie. Consolidation of European defence and aerospace companies in 1999 and 2000 allowed the establishment of a simplified joint-stock company in 2001, owned by the European Aeronautic Defense and Space Company (EADS) (80%) and BAE Systems (20%). After a protracted sales process BAE sold its shareholding to EADS on 13 October 2006. Airbus employs around 63,000 people at sixteen sites in four countries: France, Germany, Spain and the United Kingdom. Final assembly production is based at Toulouse, France; Hamburg, Germany; Seville, Spain; and, since 2009 as a joint-venture, Tianjin, China.  Airbus has subsidiaries in the United States, Japan and India."
27,Air India,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/005790.gif,N,Air Works India Engineering Pvt Ltd,http://www.airworks.in,3,3.5,3.7,3.5, Other Services,-,-, 1 - 100,-, 501 - 1000,-,"Air India is the flag carrier airline of India and the third largest airline in India in terms of passengers carried, after IndiGo and Jet Airways. It is owned by Air India Limited, a Government of India enterprise and operates a fleet of Airbus and Boeing aircraft serving various domestic and international destinations. It is headquartered in New Delhi.  Air India has major domestic hubs at Indira Gandhi International Airport, New Delhi and Chhatrapati Shivaji International Airport, Mumbai and secondary hubs at Netaji Subhas Chandra Bose International Airport, Kolkata and Chennai International Airport.   Air India became the 27th member of Star Alliance on 11 July 2014.  Founded in 1932 by J. R. D. Tata and later renamed to Tata Airlines, he flew its first single-engine De Havilland Puss Moth, carrying air mail from Karachi to Bombay, and later continuing to Madras. After World War II, it became a public limited company and was renamed to Air-India. On 21 February 1960, it included it first Boeing 707–420 named Gauri Shankar and became the first Asian airline to induct a jet aircraft in its fleet. In 2000–01, attempts were made to privatise Air India and in 2006 onwards, it suffered losses after its merger with Indian Airlines.Air India uses the Airbus A320 family and Boeing 787 aircraft for selected domestic routes while long distance services use the Boeing 777-300ER, 747 and 787 aircraft."
28,Akamai,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/004424.gif,N,Akamai Technologies India Pvt Ltd,http://www.akamai.com,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 1001 - 5000,-,"Akamai Technologies, Inc. is a content delivery network or CDN and cloud services provider headquartered in Cambridge, Massachusetts, in the United States. Akamai's content delivery network is one of the world's largest distributed computing platforms, responsible for serving between 15 and 30 percent of all web traffic.  The company operates a network of servers around the world and rents capacity on these servers to customers who want their websites to work faster by distributing content from locations close to the user. Over the years their customers have included Apple, Facebook, Bing, Twitter, eBay and healthcare.gov. When a user navigates to the URL of an Akamai customer, their browser is redirected to one of Akamai’s copies of this website, almost entirely invisible to the vast majority of its users.The company was founded in 1998 by Daniel M. Lewin (then a graduate student at MIT) and MIT applied mathematics professor Tom Leighton, together with Jonathan Seelig, Preetish Nijhawan and Randall Kaplan.  Lewin was killed aboard American Airlines Flight 11, which crashed in the September 11 attacks of 2001. Leighton currently serves as Akamai's CEO. Akamai is a Hawaiian word meaning “intelligent” or “witty”."
29,Alcatel-Lucent,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000112.png,N,Alcatel-Lucent Pvt. Ltd.,http://www.alcatel-lucent.com/wps/portal?COUNTRY_CODE=US&COOKIE_SET=false,3.6,3.4,3.5,3.6," Technology (IT, Telecom, Dot Com Etc)",2006,-, 10000+, France, 10001+," Ericsson Pvt Ltd. , Aircel Ltd , Nokia Siemens Networks Ltd , Huawei Technologies Co Ltd , Cisco Systems Inc.","Alcatel-Lucent S.A. (French pronunciation:  ) is a French global telecommunications equipment company, headquartered in Boulogne-Billancourt, France.The company focuses on fixed, mobile, and converged networking hardware, IP technologies, software and services, with operations in more than 130 countries. It had been named Industry Group Leader for Technology Hardware & Equipment sector in the 2014 Dow Jones Sustainability Indices review  and listed in the 2014 Thomson Reuters Top 100 Global Innovators for the 4th consecutive year.  Alcatel-Lucent also owns Bell Laboratories, one of the largest research and development facilities in the communications industry, whose employees have been awarded eight Nobel Prizes and the company holds in excess of 29,000 patents.Alcatel-Lucent's chief executive officer is Michel Combes and the non-executive chairman of the board is Philippe Camus. Camus joined the company in the third quarter of 2008, alongside Ben Verwaayen as CEO, after Alcatel-Lucent's first CEO Patricia Russo and first chairman Serge Tchuruk resigned.  For 2010, the company had revenues of €16 billion and a reported net loss of €334 million.  For 2011, revenues were €15 billion, net loss of €1.1 billion. For 2012, revenues were €14.4 billion and net loss of €1.4 billion.  After seven consecutive years of negative cash flows, in October 2013 the company announced plans to slash 10,000 employees, or 14% of the total current 72,000 workforce, as a part of a €1 billion cost reduction effort. "
30,ALSTOM India,3.7,http://jobbuzz.timesjobs.com/ndata_images/logos/000134.gif,N,Alstom Projects India Ltd.,http://www.alstom.com/India/,3.8,3.7,3.7,3.6, Utilities,1928,-, 1000 - 2500,-, 1001 - 5000," Jyoti Structures Ltd , Indo Tech Transformers Ltd",0
31,Altisource,3.2,http://jobbuzz.timesjobs.com/ndata_images/logos/000135.gif,N,Altisource Portfolio Solutions Pvt Ltd,http://www.altisource.com/,3.3,3.3,3.3,3," Banking, Financial Services & Insurance",2009, William B. Shepro, 100 - 500,-, 1001 - 5000,-,0
32,Allahabad Bank,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/007046.gif,Y,Allahabad Bank,http://www.allahabadbank.com,3.8,4,4,3.7," Banking, Financial Services & Insurance",-,-, 10000+,-, 10001+,-,"Allahabad Bank (Hindi: इलाहाबाद बैंक) is a nationalised bank with its headquarters in Kolkata, India. It is the oldest joint stock bank in India. On 24 April 2014, the bank entered into its 150th year of establishment. It was founded in Allahabad in 1865. As of 31 March 2012, Allahabad Bank had over 2,500 branches across India.  The bank did a total business of INR 3.1 trillion during the FY 2012-13.  The bank has a branch in Hong Kong and a representative office in Shenzen.The bank's market capitalisation in May 2013 was US$ 1.28 billion and it ranked #1466 on the Forbes Global 2000 list. "
33,Alten,4.8,http://jobbuzz.timesjobs.com/ndata_images/logos/006552.gif,N,Alten India Pvt Ltd,http://www.alten.in,5,4.5,5,4.5," Media, Entertainment, Advertising & Related Services",-,-, 5000 - 10000,-, 1001 - 5000,-,"Founded in 1988, ALTEN is a French multinational technology consulting and engineering company with offices in 20 countries. ALTEN's stock is listed in compartment B of the Euronext Paris market (ISIN FR0000071946); it is part of the SBF 120, the IT CAC 50 index and MIDCAP 100, and is eligible for the Deferred Settlement Service (SRD).In 2014, ALTEN achieved a turnover of 1,373.2 million euros, almost a half of which was generated outside France."
34,AMD,2.6,http://jobbuzz.timesjobs.com/ndata_images/logos/002252.gif,N,AMD India Pvt Ltd,http://www.amd.com,4,2.5,2.5,2.5," Technology - IT, Telecom, Semiconductors",-,-, 10000+,-, 10001+,-,"Advanced Micro Devices, Inc. (AMD) is an American worldwide semiconductor company based in Sunnyvale, California, United States, that develops computer processors and related technologies for business and consumer markets. While initially it manufactured its own processors, the company became fabless after GlobalFoundries was spun off in 2009. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations and personal computers, and embedded systems applications.AMD is the second-largest supplier and only significant rival to Intel in the market for x86-based microprocessors. Since acquiring ATI in 2006, AMD and its competitor Nvidia have dominated the discrete graphics processor unit (GPU) market. "
35,Amdocs,4,http://jobbuzz.timesjobs.com/ndata_images/logos/002369.png,N,Amdocs Ltd,http://www.amdocs.com,3.5,4.2,4.2,4," Technology (IT, Telecom, Dot Com Etc)",1982, Eli Gelman, 2500 - 5000, United States of America, 5001 - 10000,-,"Amdocs is a software and services provider to more than 250 communications, media and entertainment service providers in more than 90 countries. Its CES (Customer Experience Solutions) span business support systems (BSS), operational support systems (OSS) and network control and optimization offerings for multiple lines of business, including wireless, wireline, broadband, cable and satellite services. The company also offers mobile financial services offerings to both service providers and financial institutions; end-to-end, carrier-grade big data analytic solutions, and advertising and media products and services for local marketing service providers, including directory publishers.Amdocs maintains offices on 6 continents with support and development centers located worldwide, including Australia, Brazil, Canada, Cyprus, India, Ireland, Israel, the UK and the USA. The company was founded in 1982 as an offshoot of Golden Pages, the Israeli phone directory company, which was owned by the Aurec Group headed by Morris Kahn.  Together with others at Golden Pages, Kahn developed a billing software program for phone directory companies and with Boaz Dotan established a company called Aurec Information & Directory Systems to market this product.   In 1985, Southwestern Bell Corporation acquired a 50 percent ownership share of Aurec Information, and its name was changed to Amdocs. Within two years, the Aurec Group sold off all its holdings in Amdocs for almost US$1 billion. "
36,American Express,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/002130.gif,N,American Express Banking Corporation,http://www.americanexpress.com/india,4.2,3.6,3.8,3.7," Banking, Financial Services & Insurance",-,-, 100 - 500,-, 1001 - 5000,-,"The American Express Company, also known as Amex, is an American multinational financial services corporation headquartered in Manhattan's Three World Financial Center in New York City, United States. Founded in 1850, it is one of the 30 components of the Dow Jones Industrial Average.  The company is best known for its credit card, charge card, and traveler's cheque businesses. Amex cards account for approximately 24% of the total dollar volume of credit card transactions in the US.  BusinessWeek and Interbrand ranked American Express as the 22nd most valuable brand in the world, estimating the brand to be worth US$14.97 billion.  Fortune listed Amex as one of the top 20 Most Admired Companies in the World. The company's logo, adopted in 1958, is a Centurion  whose image appears on the company's travelers' cheques, charge cards and credit cards."
37,Analog Devices,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003751.gif,N,Analog Devices India Pvt Ltd,http://www.analog.com,0,0,0,0," Technology - IT, Telecom, Semiconductors",-,-, 1 - 100,-, 201 - 500,-,"Analog Devices, Inc., also known as ADI or Analog, is an American multinational semiconductor company specializing in data conversion and signal processing technology, headquartered in Norwood, Massachusetts.   In 2012, Analog Devices led the worldwide data converter market with a 48.5% share, according to analyst firm Databeans. The company manufactures analog, mixed-signal and digital signal processing (DSP) integrated circuits (ICs) used in electronic equipment.   These technologies are used to convert, condition and process real-world phenomena, such as light, sound, temperature, motion, and pressure into electrical signals. Analog Devices has approximately 100,000 customers  in the following industries: communications, computer, industrial, instrumentation, military/aerospace, automotive, and consumer electronics applications. "
38,Anlage Infotech,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/004495.gif,N,Anlage Infotech India Pvt Ltd,http://www.anlagehro.com,0,0,0,0, Consultancy Services,-,-, 1 - 100,-, 51 - 200,-,0
39,Aon Hewitt,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000775.gif,N,Aon Corp,http://www.aon.com/,3.8,3.2,3.5,3.4, Consultancy Services,-,-, 10000+,-, 10001+," SBI Life Insurance Co. Ltd , ICICI Prudential Life Insurance Co Ltd","Aon Hewitt (formerly known as Hewitt Associates) is a provider of human capital and management consulting services headquartered in the United States in Lincolnshire, Illinois. From 500 offices in 120 countries, it provides consulting, outsourcing, and reinsurance brokerage services.The company was founded in 1940 and ceased to exist as an independent entity at the completion of its purchase by Aon in October 2010. Hewitt's operations were merged at that time with some elements of Aon's consulting arm to become a new subsidiary of the Aon Group called Aon Hewitt."
40,AppLabs,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003565.gif,N,AppLabs Technologies Pvt Ltd,http://www.applabs.com,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 1001 - 5000,-,0
41,Aptara,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003756.gif,N,Aptara Pvt Ltd,http://www.aptaracorp.com,2.5,2.5,2.5,2.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 500 - 1000,-, 5001 - 10000,-,"Aptara, Inc. is a US-based media company specializing in digital content development. It is headquartered in Falls Church, Virginia. Aptara's services include content production, digital publishing, data conversion, editorial services, eLearning and technology development, legal content solutions, and business process outsourcing (BPO). Its customers include publishers, information aggregators, professional societies, universities and corporations worldwide.  The company has operations in New Delhi, Pune, Dehradun and Kerala, India.   Aptara is considered one of the leading knowledge process outsourcing (KPO) companies in India. "
42,Apple,4.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003069.gif,N,Apple India Pvt Ltd,http://www.apple.com/in/,4.5,4,4.5,5," Technology (IT, Telecom, Dot Com Etc)",-,-, 10000+,-, 10001+,-,0
43,Ariba,3.9,http://jobbuzz.timesjobs.com/ndata_images/logos/006681.gif,N,Ariba Technologies India Pvt Ltd,http://www.ariba.com,4,4,4,3.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 1000 - 2500,-, 1001 - 5000,-,"Ariba is a software and information technology services company located in Sunnyvale, California. It was acquired by German software maker SAP SE for $4.3 billion in 2012.  "
44,Aricent Technologies,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000190.png,N,Aricent Technologies (Holdings) Ltd,http://www.aricent.com/,3.5,3.5,3.4,3.5," Technology (IT, Telecom, Dot Com Etc)",2006, Frank Kern, 1000 - 2500," Redwood City, California", 5001 - 10000,-,0
45,ArisGlobal,2.9,http://jobbuzz.timesjobs.com/ndata_images/logos/001314.png,N,Aris Global Software Pvt Ltd,http://www.arisglobal.com/,3.5,3.1,2.5,2.7," Technology (IT, Telecom, Dot Com Etc)",1987,-, 100 - 500, United States of America, 501 - 1000,-,0
46,Aristocrat Technologies,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/004665.gif,N,Aristocrat Technologies India Pvt Ltd,http://www.aristocrat.com.au,2.8,2.6,2.5,2.5," Media, Entertainment, Advertising & Related Services",1953, Jamie R Odell, 2500 - 5000, Australia, 1001 - 5000,-,0
47,Arbitron india,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/004979.gif,N,Arbitron Technology Services India Pvt Ltd,http://www.arbitron.com,4,2.5,2.5,2.5," Media, Entertainment, Advertising & Related Services",-,-, 1000 - 2500,-, 1001 - 5000,-,0
48,Arctern,2.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000188.png,N,Arctern Consulting Pvt Ltd,http://www.arctern.com/Index.aspx,3.4,3,2.5,2.6, Consultancy Services,2004, Bijal Mehta, 1 - 100, New York, 51 - 200,-,0
